AccY,AccZ,GyroX,GyroY,GyroZ,Label
-1.295,-0.104,-0.160,1.611,-0.855,STANDING
-1.302,-0.114,-2.305,3.649,-0.656,STANDING
-1.295,-0.107,-0.565,2.649,-1.198,STANDING
-1.294,-0.089,-0.878,2.832,-0.687,STANDING
-1.286,-0.124,1.229,1.733,-0.893,STANDING
-1.356,-0.135,-10.618,2.061,-4.771,STANDING
-1.243,-0.177,-5.450,-3.962,6.962,STANDING
-1.163,-0.167,1.092,9.191,-18.573,STANDING
-1.209,-0.225,-9.443,9.962,7.229,STANDING
-1.440,-0.198,21.802,-4.985,-9.840,MOVING
-1.089,-0.363,-21.000,21.206,3.565,MOVING
-1.355,-0.127,7.412,-8.603,-2.450,MOVING
-1.274,-0.230,-5.481,8.679,4.748,STANDING
-1.292,-0.196,6.198,0.046,-1.160,STANDING
-1.294,-0.184,0.389,1.244,-1.267,STANDING
-1.289,-0.203,-1.389,3.412,-0.557,STANDING
-1.282,-0.195,-1.771,3.908,-0.580,STANDING
-1.285,-0.194,-0.031,2.588,-0.771,STANDING
-1.285,-0.194,-1.305,3.794,-0.450,STANDING
-1.294,-0.189,-0.244,3.412,-0.855,STANDING
-1.288,-0.178,0.870,1.733,-1.290,STANDING
-1.281,-0.185,-1.130,2.756,-0.939,STANDING
-1.279,-0.199,-0.855,3.267,-0.679,STANDING
-1.280,-0.191,5.824,-0.794,5.275,STANDING
-1.254,-0.151,10.008,-2.214,-3.916,STANDING
-1.298,-0.169,1.847,1.740,-2.672,STANDING
-1.299,-0.171,2.145,1.740,-1.290,STANDING
-1.295,-0.174,-2.328,3.710,-0.916,STANDING
-1.286,-0.183,-1.924,3.992,-0.557,STANDING
-1.297,-0.177,0.237,2.771,-1.954,STANDING
-1.287,-0.171,-0.794,3.550,-0.725,STANDING
-1.287,-0.158,1.733,2.267,-0.962,STANDING
-1.318,-0.117,-4.427,6.527,0.260,STANDING
-1.305,-0.133,0.718,0.359,-1.786,STANDING
-1.308,-0.163,10.305,-3.962,-8.595,STANDING
-1.266,-0.226,-6.725,2.542,8.260,STANDING
-1.240,-0.207,-6.672,-2.008,-9.748,STANDING
-1.287,-0.166,25.603,17.344,12.756,STANDING
-1.356,-0.234,-2.672,7.916,-0.534,STANDING
-1.203,-0.190,-2.733,-3.290,-3.229,MOVING
-1.327,-0.057,-6.290,10.679,-3.534,STANDING
-1.305,-0.093,3.473,2.305,-0.198,STANDING
-1.300,-0.094,0.534,2.519,-0.252,STANDING
-1.299,-0.097,-0.588,2.481,-0.183,STANDING
-1.279,-0.119,-0.336,1.221,-1.351,STANDING
-1.200,-0.132,14.977,-7.076,-2.802,STANDING
-1.340,-0.160,-0.580,2.321,-1.908,STANDING
-0.922,0.064,-5.351,-1.031,-25.420,MOVING
-1.234,-0.113,14.290,-6.649,9.908,MOVING
-1.329,-0.105,-32.511,21.214,14.511,STANDING
-1.298,-0.110,11.427,-4.695,-3.328,STANDING
-1.279,-0.093,0.351,-2.710,-5.618,STANDING
-1.239,-0.113,-20.160,11.885,-6.878,STANDING
-1.284,-0.116,5.504,-6.611,-6.122,STANDING
-1.223,-0.198,-2.771,9.153,2.344,STANDING
-1.344,0.092,13.145,-7.282,3.160,STANDING
-1.189,0.104,-2.290,8.031,-4.962,MOVING
-1.301,0.013,-18.756,14.344,3.511,STANDING
-1.245,-0.125,6.863,8.786,-0.718,STANDING
